,word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
7290,leukemia,1,0,0,1,0,1,0,1,0,0
7291,levee,0,0,0,0,0,0,0,0,0,1
7292,level,0,0,0,0,0,0,1,0,0,1
7293,lever,0,0,0,0,0,0,0,0,0,0
7294,leverage,0,0,0,0,0,0,1,0,0,0
7295,levy,0,0,0,0,0,1,0,0,0,0
7296,lewd,0,0,1,0,0,1,0,0,0,0
7297,lexicon,0,0,0,0,0,0,0,0,0,0
7298,ley,0,0,0,0,0,0,0,0,0,0
7299,liabilities,0,0,0,0,0,0,0,0,0,0
7300,liability,0,0,0,0,0,0,0,0,0,0
7301,liaison,0,0,0,0,0,1,0,0,0,0
7302,liar,0,0,1,0,0,1,0,0,0,0
7303,libel,1,0,0,1,0,1,0,0,0,1
7304,libelous,0,0,0,0,0,0,0,0,0,0
7305,liberal,0,0,0,0,0,1,1,0,0,0
7306,liberalism,0,0,0,0,0,0,0,0,0,0
7307,liberate,1,1,0,0,1,0,1,0,1,1
7308,liberation,0,1,0,0,1,0,1,0,1,0
7309,liberty,0,1,0,0,1,0,1,0,1,1
7310,libido,0,0,0,0,0,0,0,0,0,0
